;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;kadiköy;;;;;;;;üsküdar;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Ataşehir;;;;;;;;Ümraniye;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Ad ;Nüfus Dağılımı ;Yaş Dağılımı ;Medeni Hal ;Eğitim Düzeyi ;SES ;;;;Ad ;Nüfus Dağılımı ;Yaş Dağılımı ;Medeni Hal ;Eğitim Düzeyi ;SES ;;;Ad ;Nüfus Dağılımı ;Yaş Dağılımı ;Medeni Hal ;Eğitim Düzeyi ;SES ;;;Ad ;Nüfus Dağılımı ;Yaş Dağılımı ;Medeni Hal ;Eğitim Düzeyi ;SES 
;;;;Rasimpaşa;12.341 Kişi;25-29;Bekar;Lisans;A Grubu;;;;Çengelköy;13.623 Kişi;65+;Evli;Lise;A Grubu;;;Mimar Sinan;9.614 Kişi;25-29;Evli;İlkokul;C Grubu;;;Yukarı Dudullu;21.532 Kişi;25-29;Evli;Lise;C Grubu
;;;;Fikirtepe;12.235 Kişi;25-29;Evli;Lisans;A Grubu;;;;Muratreis;13.607 Kişi;65+;Evli;Lisans;A Grubu;;;Yenisahra;9.487 Kişi;25-29;Evli;Lise;C Grubu;;;Site;21.465 Kişi;40-44;Evli;Lisans;C Grubu
;;;;Dumlupınar;10.081 Kişi;25-29;Evli;Lisans;A Grubu;;;;Güzeltepe;13.240 Kişi;65+;Evli;Lise;A Grubu;;;;;;;;;;;Esenkent;21.439 Kişi;25-29;Evli;İlkokul;C Grubu
;;;;Zühtüpaşa;8.155 Kişi;65+;Evli;Lisans;A Grubu;;;;Selami Ali;13.011 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Esenşehir;20.732 Kişi;35-39;Evli;İlkokul;B Grubu
;;;;Osmanağa;7.728 Kişi;65+;Bekar;Lisans;A Grubu;;;;Altunizade;12.397 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Atakent;19.933 Kişi;65+;Evli;Lise;C Grubu
;;;;Koşuyolu;6.739 Kişi;65+;Evli;Lisans;A Grubu;;;;Zeynep Kamil;11.877 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Yamanevler;17.889 Kişi;20-24;Evli;Lise;C Grubu
;;;;;;;;;;;;;Mimar Sinan;11.478 Kişi;25-29;Evli;Lisans;A Grubu;;;;;;;;;;;Adem Yavuz;16.766 Kişi;40-44;Evli;İlkokul;C Grubu
;;;;;;;;;;;;;Küçük Çamlıca;10.980 Kişi;65+;Evli;Lise;A Grubu;;;;;;;;;;;Ihlamurkuyu;15.903 Kişi;25-29;Evli;Lise;B Grubu
;;;;;;;;;;;;;Sultantepe;10.573 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Kazım Karabekir;15.830 Kişi;40-44;Evli;İlkokul;C Grubu
;;;;;;;;;;;;;Kirazlıtepe;9.355 Kişi;25-29;Evli;Lise;C Grubu;;;;;;;;;;;Parseller;15.821 Kişi;40-44;Evli;Lise;C Grubu
;;;;;;;;;;;;;Salacak;9.350 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Madenler;15.597 Kişi;40-44;Evli;Lisans;C Grubu
;;;;;;;;;;;;;Ahmediye;8.638 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Aşağı Dudullu;15.040 Kişi;25-29;Evli;Lise;C Grubu
;;;;;;;;;;;;;Aziz Mahmut Hüdayi;8.608 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Topağacı;13.826 Kişi;20-24;Evli;İlkokul;C Grubu
;;;;;;;;;;;;;Selimiye;8.023 Kişi;65+;Bekar;Lisans;A Grubu;;;;;;;;;;;Tepeüstü;13.449 Kişi;25-29;Evli;Lise;C Grubu
;;;;;;;;;;;;;Beylerbeyi;5.165 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Huzur;12.070 Kişi;25-29;Evli;İlkokul;C Grubu
;;;;;;;;;;;;;Kuleli;4.142 Kişi;15-19;Bekar;Lise;A Grubu;;;;;;;;;;;Dumlupınar;12.024 Kişi;20-24;Evli;İlkokul;C Grubu
;;;;;;;;;;;;;Kuzguncuk;3.981 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Tantavi;11.784 Kişi;40-44;Evli;Lisans;C Grubu
;;;;;;;;;;;;;Kandilli;1.410 Kişi;65+;Evli;Lisans;A Grubu;;;;;;;;;;;Şerifali;9.502 Kişi;35-39;Evli;Lisans;C Grubu
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Finanskent;8.113 Kişi;40-44;Evli;Lisans;A Grubu
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hekimbaşı;7.355 Kişi;40-44;Evli;İlkokul;C Grubu
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yenişehir;6.584 Kişi;40-44;Evli;İlkokul;C Grubu
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fatih Sultan Mehmet;4.658 Kişi;40-44;Evli;Lisans;A Grubu
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Saray;3.460 Kişi;40-44;Evli;Lisans;A Grubu
