MusteriKodu;MusteriBolge1;MusteriBolge2;MusteriBolge3;MusteriBolge4;SatisKanali;lisansNo;SatisHacmi;DiageoSatisHacmi;RutAdi;RutgrupKod;SatisTemsilcisi;StTakipKod;SatisSefi;SonGuncellenmeZamani;DDegeri;RDegeri;HDegeri;BiletEtkinlik;OrtalamaHarcamaTutari;KuverSayisi;IsbirligiDuzeyi;HerseyDahil;KisMevsimi;OtelTipi;YatakSayisi;YillikMisafir;MusteriUnvan;MusteriTabelaAdi;MusteriCesidi;Adres;lat;lng;MusteriProfili;MapProfileScore;MapPopulationScore;Mapin Segment;not;username;Url detay; url
863748;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ÜSKÜDAR;TRADITIONAL;34342697Aİ;S3;D4;Presell On İst.Tra Boğaz-Şile Bölge;2821;Bahadır Kaya;8233;Erkan Çoban;;;R1;;Etkinlik Yok;1.000 -1.999 TL;0-99;Düşük;;;;;;AY TURİZM TEKSTİL GIDA VE İNŞ. SAN. TİC.LTD.ŞTİ;BEYLERBEYİ DOĞA;Balık;YALIBOYU CD. NO:36/1 BEYLERBEYİ ÜSKÜDAR ISTANBUL ;41,0462166;29,0494265;A+;91,662;89,9332;R1-A;;beylerbeyidoga;var;https://maps.google.com/?cid=16807249871272865397
1000029425;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;ÜSKÜDAR;MODERN;3434004766Aİ;S3;D3;Presell On Hospitality Avrupa1 Kayıkçı Bölgesi;2535;Hospitality Yedek;8013;Mehmet Emir Kalkır;;D1;;;Etkinlik Yok;500-999 TL;400+;Yüksek;;;;;;DİVAN TUR. İŞLET. A.Ş. LOTUS BY DİVAN ŞB ;DİVAN ÜSKÜDAR ;Modern Pub & Bistro;KUZGUNCUK MH KUŞBAKIŞI CAD. NO:16/4/1 ;41,0274;29,0423;AB;91,6291;91,2614;D1-A;;divanrestoranlari;var;https://maps.google.com/?cid=13695866077304131440
955167;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34289130Aİ;S3;D2;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D1;;;Etkinlik Yok;1.000 -1.999 TL;200-399;Yüksek;;;;;;BOĞAZİŞLERİ GIDA VE TURİZM TİC A.Ş;RİTA MODA;Fine Dining (D.Mutf-Şar.Evi);CAFEAĞA MAH ŞAİR NEFİ SOK NO 14/1  KADIKOY ISTANBUL;40,9838722;29,026349;A+;91,5988;89,7463;D1-A;;ritamoda14;var;https://maps.google.com/?cid=15663783458985509318
1000018854;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34286610Aİ;S3;D4;Presell On İst.Tra Kadıköy Bölgesi;2816;Bertan Acabay;8229;Erkan Çoban;;;R1;;Etkinlik Var;1.000 -1.999 TL;400+;Yüksek;;;;;;PEYSAGE RESTAURANT - TURAN UZUN;PEYSAGE RESTAURANT  KALAMIŞ;Yeni Nesil Meyhane;MUNİR NURTTİN SELÇUK CD KALAMIŞ YATLİMANI;40,9741371;29,0361424;A+;91,5741;94,3777;R1-A;;kalamispaysage;var;https://maps.google.com/?cid=5413849157762433673
701906;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;3428010305Aİ;S3;D3;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D1;;;Etkinlik Var;1.000 -1.999 TL;100-199;Orta;;;;;;MARLYN GROUP GIDA SAN.VE DIŞ.TİC.A.Ş.;YSABEL;Gece Kulübü;Suadiye mah.Plaj yolu sok. No 14A kadıköy ist. ;40,9573639;29,0807648;A+;91,5499;90,3298;D1-A;;ysabelbrasserie;var;https://maps.google.com/?cid=6519210160263000839
951942;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;TRADITIONAL;34392160Aİ;S3;D3;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;;R1;;Etkinlik Yok;1.000 -1.999 TL;400+;Orta;;;;;;ATASEHIR YIYECEK IÇECEK HIZMETLERI SAN. TIC. A.S. - KAŞIBEYAZ;KAŞIBEYAZ ATAŞEHİR;Kebap;BARBAROS MH AHLAT SK NO:2/15-16 WATERGARDEN AVM  ATASEHIR ISTANBUL;40,998656;29,099195;A+;91,543;92,0229;R1-A;;kasibeyazatasehir;var;https://maps.google.com/?cid=999274794227251495
903096;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34288183Aİ;S2;D3;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R1;;Etkinlik Yok;500-999 TL;100-199;Düşük;;;;;;MISINA RESTORAN TURIZM GIDA SAN.TIC.LTD.STI;MİSİNA BALIK;Balık;CADDEBOSTAN MAH. PROF. DR. HULUSİ BEHÇET CAD. NO:10 GÖZTEPE KADIKOY ISTANBUL;40,9682196;29,0578166;AB;91,5391;92,8215;R1-A;;misinabalik;var;https://maps.google.com/?cid=9430774274710320030
549712;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34390190Aİ;S3;D3;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D2;;;Etkinlik Yok;0-499 TL;200-399;Orta;;;;;;MODERN REST.KAFETERYA İŞL. A.Ş.;BRASSERIE POLONEZ/ ;Modern Pub & Bistro;BARBAROS MAH. HALK CAD. NO:6  PALLADIUM AVM KAT:-2 ATAŞEHİR ATASEHIR ISTANBUL;40,98602600;29,10049300;AB;91,5266;80,6013;D2-A;;brasserieprimetr;var;https://maps.app.goo.gl/odLrPfw8aJDMJVYZ9
938123;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34288676Aİ;S3;D2;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D1;;;Etkinlik Yok;500-999 TL;100-199;Orta;;;;;;REVOLTE CAFE BAR TURİZM VE TİC LTD ŞTİ;REVOLTE CAFE PUB;Modern Pub & Bistro;CAFERAĞA MAH ARAYICI BAŞI SOK NO 13/A-1 KADIKOY ISTANBUL;40,988133;29,027021;AB;91,5001;91,8634;D1-A;;revoltepub;var;https://maps.google.com/?cid=9111395160061203967
863941;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34286069Aİ;S2;D4;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R1;;Etkinlik Yok;1.000 -1.999 TL;200-399;Orta;;;;;;HÜRCAN TURIZIM INSAAT GIDA TEKSTIL ITHALAT IHRACAT SAN VE TIC.LTD.STI - ÇATANA BALIK;ÇATANA BALIK;Balık;YAZMACI TAHİR SOK NO:40 KADIKOY ISTANBUL ;40,9536972;29,0900323;AB;91,4762;91,5292;R1-A;;catanabalik;var;https://maps.google.com/?cid=6052787267930798197
