isim;adres;latitude;longitude;google_maps_link
ARABICA COFFEE HOUSE;"Mezopotamya Mah. Mahabad Bulvari Azel Ctin Durmaz Rezidans; A Blok Alti; 21070 Kayapinar/Diyarbakir; Türkiye";'37.9446376;'40.1604609;"https://www.google.com/maps?q=37.9446376;40.1604609"
ARABICA COFFEE HOUSE NEVŞ;"2000 Evler; 50300 Nevşehir Merkez/Nevşehir; Türkiye";'38.6705286;'34.7398447;"https://www.google.com/maps?q=38.6705286;34.7398447"
ARABICA COFFEE HOUSE PANORA;"Oran; Kudüs Cd. No:3 D:213; 06450 Cankaya/Ankara; Türkiye";'39.8484905;'32.8336136;"https://www.google.com/maps?q=39.8484905;32.8336136"
Arabica;"Büyükdere; Gençlik Bulvari; 26040 Odunpazari/Eskişehir; Türkiye";'39.751205;'30.4958063;"https://www.google.com/maps?q=39.751205;30.4958063"
Arabica;"İnönü; Buhara Bulvari No:245; 44070 Yeşilyurt/Malatya; Türkiye";'38.3501532;'38.2978292;"https://www.google.com/maps?q=38.3501532;38.2978292"
Arabica cofee etlik;"Aşagi Eglence; Giresun Cd.; 06010 Keçiören/Ankara; Türkiye";'39.972265;'32.8399236;"https://www.google.com/maps?q=39.972265;32.8399236"
Arabica Coffe House;"Mareşal Cakmak; 06936 Sincan Osb/Sincan/Ankara; Türkiye";'39.9603567;'32.5856393;"https://www.google.com/maps?q=39.9603567;32.5856393"
Arabica Coffe House - Konur;"Meşrutiyet; Konur Sok. No:13; 06420 Cankaya/Ankara; Türkiye";'39.9186548;'32.8562789;"https://www.google.com/maps?q=39.9186548;32.8562789"
Arabica Coffe House Mülkiyeliler;"Kizilay; Meşrutiyet mahallesi; Yüksel Cd. no:12; 06460 Cankaya/Ankara; Türkiye";'39.9193185;'32.8566379;"https://www.google.com/maps?q=39.9193185;32.8566379"
Arabica Coffe Kırıkkale;"Yenişehir; 264. Sk. No:5; 71450 Yahşihan/Kirikkale; Türkiye";'39.8712689;'33.4572213;"https://www.google.com/maps?q=39.8712689;33.4572213"
Arabica Coffee;"Yayla; 1610. Sk. No:8; 32100 Isparta Merkez/Isparta; Türkiye";'37.763603;'30.5491916;"https://www.google.com/maps?q=37.763603;30.5491916"
Arabica Coffee;"Paşaköy; Esas 14 Burda Avm; Bolu Düzce Yolu; 14100 Bolu Merkez/Bolu; Türkiye";'40.7319971;'31.5613066;"https://www.google.com/maps?q=40.7319971;31.5613066"
Arabica Coffee Balıkesir;"Haci İlbey mahallesi :48/A; 10100 Altieylül/Balikesir; Türkiye";'39.64475400000000;'27.8795554;"https://www.google.com/maps?q=39.64475400000001;27.8795554"
arabica coffee erzincan;"Karaagaç; ermerkez avm; Fevzi Paşa Cd. no:1; 24100 Erzincan Merkez/Erzincan; Türkiye";'39.7464705;'39.4926548;"https://www.google.com/maps?q=39.7464705;39.4926548"
Arabica Coffee House;"Kuşdilli; Terme Cd. No:62; 40100 Kirşehir Merkez/Kirşehir; Türkiye";'39.1404218;'34.1575048;"https://www.google.com/maps?q=39.1404218;34.1575048"
Arabica Coffee House;"Servi; Hafiz Murat Cd. 34/A; 43030 Kütahya Merkez/Kütahya; Türkiye";'39.4225491;'29.9864795;"https://www.google.com/maps?q=39.4225491;29.9864795"
Arabica Coffee House;"Üniversite; 25100 Yakutiye/Erzurum; Türkiye";'39.9025056;'41.2266007;"https://www.google.com/maps?q=39.9025056;41.2266007"
Arabica Coffee House;"Yenişehir; 271. Sk. No:1; 71100 Yahşihan/Kirikkale; Türkiye";'39.87147969999990;'33.4565626;"https://www.google.com/maps?q=39.87147969999999;33.4565626"
Arabica coffee house;"Özerler; İstanbul Cd. ata iş merkezi no 10; 39750 Lüleburgaz/Kirklareli; Türkiye";'41.4068297;'27.3538414;"https://www.google.com/maps?q=41.4068297;27.3538414"
Arabica Coffee House;"Kemalpaşa; Üniversite Cd. 31/c; 54000 Serdivan/Sakarya; Türkiye";'40.748355;'30.3526785;"https://www.google.com/maps?q=40.748355;30.3526785"
Arabica coffee house;"İşçi Bloklari; Regnum Sky Tower; Muhsin Yazicioglu Cd. No:57; 06530 Cankaya/Ankara; Türkiye";'39.8917749;'32.8109123;"https://www.google.com/maps?q=39.8917749;32.8109123"
Arabica Coffee House;"Keklik Pinari; 06450 Cankaya/Ankara; Türkiye";'39.8668373;'32.8218539;"https://www.google.com/maps?q=39.8668373;32.8218539"
Arabica Coffee House;"Cumhuriyet; İnkilap Sk. No:8/1; 06410 Cankaya/Ankara; Türkiye";'39.9230057;'32.8557576;"https://www.google.com/maps?q=39.9230057;32.8557576"
Arabica Coffee House;"Güneşevler; Mehmet Akif Ersoy Cd No:10-A; 06140 Altindag/Ankara; Türkiye";'39.9713054;'32.8925638;"https://www.google.com/maps?q=39.9713054;32.8925638"
Arabica Coffee House;"Yeni Baglica Mah; Etimesgut Blv. No:75/38; 06790 Etimesgut/Ankara; Türkiye";'39.8983018;'32.6471711;"https://www.google.com/maps?q=39.8983018;32.6471711"
Arabica Coffee House;"Kizilay; Gazi Mustafa Kemal Blv. No:11; 06420 Cankaya/Ankara; Türkiye";'39.921608;'32.8514618;"https://www.google.com/maps?q=39.921608;32.8514618"
Arabica Coffee House;"Emek; AŞTİ No:77; 06560 Yenimahalle/Ankara; Türkiye";'39.9197435;'32.8119681;"https://www.google.com/maps?q=39.9197435;32.8119681"
Arabica Coffee House;"Üniversiteler; Bilkent Blv. No:1; 06800 Cankaya/Ankara; Türkiye";'39.8837129;'32.7579104;"https://www.google.com/maps?q=39.8837129;32.7579104"
ARABİCA Coffee House;"Gültepe; Demokrasi Bulvari; Yediyol; Batman Merkez/Batman; Türkiye";'37.928845;'41.1368497;"https://www.google.com/maps?q=37.928845;41.1368497"
Arabica Coffee House;"Eskibaglar; Genez Sk. No:38; 26170 Tepebaşi/Eskişehir; Türkiye";'39.7832063;'30.5133284;"https://www.google.com/maps?q=39.7832063;30.5133284"
Arabica Coffee House;"Karaagaç; MF3R+RF; 680 08 Edirne Merkez/Edirne; Türkiye";'41.6545831;'26.4911471;"https://www.google.com/maps?q=41.6545831;26.4911471"
Arabica Coffee House;"Adatepe; 8/3. Sk. no.7/A; 35400 Buca/İzmir; Türkiye";'38.3834544;'27.1821807;"https://www.google.com/maps?q=38.3834544;27.1821807"
Arabica Coffee House;"Cinarli; Ankara Asfalti Caddesi No:15/10; 35170 Konak/İzmir; Türkiye";'38.44798830000000;'27.1784983;"https://www.google.com/maps?q=38.44798830000001;27.1784983"
Arabica Coffee House;"İstiklal; Prof. Dr. Necmettin Erbakan Blv No:2/B; 46050 Onikişubat/Kahramanmaraş; Türkiye";'37.5920219;'36.8675003;"https://www.google.com/maps?q=37.5920219;36.8675003"
Arabica Coffee House;"Atatürk; ic Kapi; Leylak Sk. No: 2/1 No:9; 06760 Cubuk/Ankara; Türkiye";'40.23628;'33.0267308;"https://www.google.com/maps?q=40.23628;33.0267308"
Arabica Coffee House;"Köşk; Talas Blv. No:37; 38030 Melikgazi/Kayseri; Türkiye";'38.7077079;'35.5105155;"https://www.google.com/maps?q=38.7077079;35.5105155"
Arabica Coffee House - Düzce Garden;"Şehit Murat Demir; Necmi Hoşver Cd. No: 27/A; 81620 Konuralp/Düzce Merkez/Düzce; Türkiye";'40.8966753;'31.1689567;"https://www.google.com/maps?q=40.8966753;31.1689567"
Arabica Coffee House - Olgunlar;"Kültür; Olgunlar Cd. No:6; 06680 Cankaya/Ankara; Türkiye";'39.9149185;'32.8560273;"https://www.google.com/maps?q=39.9149185;32.8560273"
Arabica Coffee House - Vegaİstanbul;"Yunu Emre Mahallesi; Lütfi Aykaç Blv. No:80/26; 34260 Sultangazi/İstanbul; Türkiye";'41.0931598;'28.9049593;"https://www.google.com/maps?q=41.0931598;28.9049593"
Arabica Coffee House | Nyva Lounge | Alsancak;"Alsancak; Kibris Şehitleri Cd. 140/A; 35220 Konak/İzmir; Türkiye";'38.4404177;'27.1440996;"https://www.google.com/maps?q=38.4404177;27.1440996"
Arabica Coffee House 100. YIL;"Cukurambar; Hasan Celal Güzel Cd. No:16; 06510 No:16; 06510; 06510 Cankaya/Ankara; Türkiye";'39.8941325;'32.80548;"https://www.google.com/maps?q=39.8941325;32.80548"
Arabica Coffee House Adana;"Mahfesigmaz; 79102. Sk. 2-4; 01170 Cukurova/Adana; Türkiye";'37.0430634;'35.3112814;"https://www.google.com/maps?q=37.0430634;35.3112814"
Arabica Coffee House Adress Eryaman;"Eryaman; ALTAY MAH; DAC ADRESS; Sögüt Cd. NO:8/27; 06820 Etimesgut/Ankara; Türkiye";'39.9680519;'32.6396141;"https://www.google.com/maps?q=39.9680519;32.6396141"
Arabica Coffee House Afyon;"Erenler; 2772.SOKAK NO:1A; 03030 Afyonkarahisar Merkez/Afyonkarahisar; Türkiye";'38.8164215;'30.5380856;"https://www.google.com/maps?q=38.8164215;30.5380856"
Arabica Coffee House Akkent;"Turgut Özal; 2167.cadde c blok no:3; 06370 Yenimahalle/Ankara; Türkiye";'39.9908426;'32.7082464;"https://www.google.com/maps?q=39.9908426;32.7082464"
Arabica Coffee House Aksaray;"Taşpazar; Demir Apt; Ebulfeyz Elçibey Cd. No:51; 68100 Aksaray Merkez/Aksaray; Türkiye";'38.3689268;'34.0187975;"https://www.google.com/maps?q=38.3689268;34.0187975"
Arabica Coffee House Amasya;"Yüzevler; Mustafa Kemal Paşa Cd. No:80/D; 05100 Amasya Merkez/Amasya; Türkiye";'40.6502876;'35.8282279;"https://www.google.com/maps?q=40.6502876;35.8282279"
Arabica coffee house ankamall;"Gazi; ankamall avm; Mevlana Blv. no:2 Z066; 06560 Yenimahalle/Ankara; Türkiye";'39.9495896;'32.8311856;"https://www.google.com/maps?q=39.9495896;32.8311856"
Arabica Coffee House Antalya Casamax;"Akkuyu; Anadolu Cd 154 /AA; 07070 Konyaalti/Antalya; Türkiye";'36.88985;'30.6383551;"https://www.google.com/maps?q=36.88985;30.6383551"
Arabica Coffee House Antalya Lara;"Caglayan; 07230 Muratpaşa/Antalya; Türkiye";'36.8512473;'30.7795493;"https://www.google.com/maps?q=36.8512473;30.7795493"
Arabica Coffee House Antares;"Ayvali Mah. Afra Cad Antares AVM No:1 iç kapi:247; 06010 Keçiören/Ankara; Türkiye";'39.9695973;'32.819792;"https://www.google.com/maps?q=39.9695973;32.819792"
Arabica Coffee House ATG;"Eti; Celal Bayar Blv. 73/74; 06570 Cankaya/Ankara; Türkiye";'39.9339912;'32.8440308;"https://www.google.com/maps?q=39.9339912;32.8440308"
Arabica Coffee House Aydın Didim Altınkum;"Altinkum; Yali Cd. No:117/4-5; 09270 Didim/Aydin; Türkiye";'37.3568941;'27.2820607;"https://www.google.com/maps?q=37.3568941;27.2820607"
ARABİCA COFFEE HOUSE BAĞLICA;"Baglica; Baglica Blv. No:28 D:P; 06000 Etimesgut/Ankara; Türkiye";'39.8965545;'32.6580381;"https://www.google.com/maps?q=39.8965545;32.6580381"
Arabica Coffee House Bartın;"Kirtepe; 165. Sk. NO:9; 74100 Bartin Merkez/Bartin; Türkiye";'41.636349;'32.3342476;"https://www.google.com/maps?q=41.636349;32.3342476"
Arabica Coffee House Batıkent Gala;"Bati Sitesi Cengiz Aytmatov Caddesi; Batikent Blv. No:19; 06370 Yenimahalle/Ankara; Türkiye";'39.9603238;'32.7111861;"https://www.google.com/maps?q=39.9603238;32.7111861"
Arabica Coffee House Beşevler;"Bahçelievler; 35. Cadde No:8/A; 06490 Cankaya/Ankara; Türkiye";'39.9320182;'32.8254999;"https://www.google.com/maps?q=39.9320182;32.8254999"
Arabica Coffee House Beşevler;"Ata; 1069. Cd. No:8/A; 06490 Cankaya/Ankara; Türkiye";'39.8718612;'32.8276299;"https://www.google.com/maps?q=39.8718612;32.8276299"
Arabica Coffee House BilkentŞehir Hastanesi;"Üniversiteler; Kadin Dogum ve Cocuk Acil Girişi Yani; 1604. Cd No:9; 06800 Cankaya/Ankara; Türkiye";'39.9010761;'32.7586763;"https://www.google.com/maps?q=39.9010761;32.7586763"
Arabica Coffee House Bişkek Caddesi;"Emek; Bişkek Cd. 15/1; 06490 Cankaya/Ankara; Türkiye";'39.9296649;'32.8197888;"https://www.google.com/maps?q=39.9296649;32.8197888"
Arabica Coffee House Bursa Parkora;"Odunluk Mah. Akpinar 180. Sk. Parkora No:12 J İC kapi; No : 1; 16000 NiÌ‡lüfer/Bursa; Türkiye";'40.2108178;'29.0000349;"https://www.google.com/maps?q=40.2108178;29.0000349"
ARABİCA COFFEE HOUSE CARRERAŞUBESİ;"Cinarli; MİSTRAL TOWER CARRERA SPOR MERKEZİ; Ankara Asfalti Cd. NO:15; 35170 Konak/İzmir; Türkiye";'38.4478141;'27.1788487;"https://www.google.com/maps?q=38.4478141;27.1788487"
Arabica Coffee House Çankırı;"Cumhuriyet; Adnan Menderes Cd.; 18100 Cankiri Merkez/Cankiri; Türkiye";'40.599095;'33.6139879;"https://www.google.com/maps?q=40.599095;33.6139879"
Arabica Coffee House Çayyolu;"Prof. Dr. Ahmet Taner Kişlali Mah.Dogan Taşdelen Bulvari No :179; 06810 Cankaya/Ankara; Türkiye";'39.8821209;'32.6862615;"https://www.google.com/maps?q=39.8821209;32.6862615"
Arabica Coffee House Çevreli Cadde;"Aydinlikevler; Caba Sk. No:2 İç Kapi No:2; 06130 Altindag/Ankara; Türkiye";'39.9631121;'32.8740744;"https://www.google.com/maps?q=39.9631121;32.8740744"
Arabica Coffee House Denizli;"İncilipinar; İncilipinar Cd. No:82/A; 20010 Pamukkale/Denizli; Türkiye";'37.7551916;'29.0930898;"https://www.google.com/maps?q=37.7551916;29.0930898"
Arabica Coffee House Didim AD;"Camlik; Aytepe Cd. No:4/40; 09270 Didim/Aydin; Türkiye";'37.3400556;'27.2603333;"https://www.google.com/maps?q=37.3400556;27.2603333"
Arabica Coffee House Elazığ Elysium;"Elysium AVM; Cumhuriyet Mahallesi; Korgeneral Hulusi Sayin Caddesi; 3EB; 23190 ElÃ¢zig Merkez/Elazig; Türkiye";'38.6716345;'39.1866622;"https://www.google.com/maps?q=38.6716345;39.1866622"
Arabica Coffee House Elvankent;"Atakent; Şehit Murat Üçöz Caddesi No:24/A; 06100 Etimesgut/Ankara; Türkiye";'39.9537681;'32.6131488;"https://www.google.com/maps?q=39.9537681;32.6131488"
Arabica Coffee House Elya Center;"Konutkent; arabica elya center; 06000 Cankaya/Ankara; Türkiye";'39.875468;'32.6512141;"https://www.google.com/maps?q=39.875468;32.6512141"
Arabica Coffee House Emek 8;"Emek; Bişkek Cd. 72/B; 06490 Cankaya/Ankara; Türkiye";'39.9168559;'32.817044;"https://www.google.com/maps?q=39.9168559;32.817044"
Arabica Coffee House Eryaman Port;"Yeşilova; Prof. Dr. Necmettin Erbakan Cd No: 10; 06796 Etimesgut/Ankara; Türkiye";'39.9650115;'32.6073722;"https://www.google.com/maps?q=39.9650115;32.6073722"
Arabica Coffee House Erzurum Atatürk Üniversitesi;"Üniversite; Kütüphane ve Dökümantasyon Daire Başkanligi; No:3/Z2; 25100 Yakutiye/Erzurum; Türkiye";'39.9010418;'41.2504731;"https://www.google.com/maps?q=39.9010418;41.2504731"
ARABİCA COFFEE HOUSE ETİMESGUT GARDEN;"Süvari; Mehmet Akif Ersoy Cd. No: 5 D:1; 06790 Etimesgut/Ankara; Türkiye";'39.938158;'32.6399901;"https://www.google.com/maps?q=39.938158;32.6399901"
Arabica Coffee House Etimesgutİstasyon Caddesi;"İstasyon; İstasyon Cad. 13/A; 06790 Etimesgut/Ankara; Türkiye";'39.9479604;'32.6664862;"https://www.google.com/maps?q=39.9479604;32.6664862"
Arabica Coffee House Genel Müdürlüğü / Arabica Coffee House Beysukent;"Mutlukent Mutlukent mah. Pinar Cad. No: 9 Beysukent; 06800 Cankaya/Ankara; Türkiye";'39.8847788;'32.7107905;"https://www.google.com/maps?q=39.8847788;32.7107905"
Arabica Coffee House Gölbaşı Mogan;"Gaziosmanpaşa; Sahil Cd. No:20; 06830 Gölbaşi/Ankara; Türkiye";'39.7859556;'32.8039849;"https://www.google.com/maps?q=39.7859556;32.8039849"
Arabica Coffee House Hacettepe Teknokent;"Üniversiteler; Bilkent 8. Cd. No:6C; 06800 Cankaya/Ankara; Türkiye";'39.862246;'32.736322;"https://www.google.com/maps?q=39.862246;32.736322"
Arabica Coffee House Hamamönü;"Hacettepe; Mehmet Akif Ersoy Sk. No:15; 06230 Altindag/Ankara; Türkiye";'39.932461;'32.865597;"https://www.google.com/maps?q=39.932461;32.865597"
Arabica Coffee House Hatay Dörtyol;"Kapali Spor Salonu; Numune Evler Mahallesi; Stad Caddesi; Karşisi No.4; 31000 Dörtyol/Hatay; Türkiye";'36.83628059999990;'36.2155963;"https://www.google.com/maps?q=36.83628059999999;36.2155963"
Arabica Coffee House Hoşdere;"Güzeltepe MahallesiÌ‡ Hoşdere Cad.No:210/A-b 210 A-b; 06690 Cankaya/Ankara; Türkiye";'39.884745;'32.8528825;"https://www.google.com/maps?q=39.884745;32.8528825"
Arabica Coffee House Isparta Meydan;"Yayla; 1612. Sk. No: 27/8; 32000 Merkez/Isparta; Türkiye";'37.76438;'30.549329;"https://www.google.com/maps?q=37.76438;30.549329"
Arabica Coffee House Iyaşpark;"Bahçelievler; Ertokuş Cd. No:3/13; 32000 Merkez/Isparta; Türkiye";'37.7815784;'30.54464;"https://www.google.com/maps?q=37.7815784;30.54464"
Arabica Coffee House Kaleiçi;"Kiliçarslan Mah; Cami Sk. No:6; 07100 Muratpaşa/Antalya; Türkiye";'36.8829927;'30.70536;"https://www.google.com/maps?q=36.8829927;30.70536"
Arabica Coffee House Karabük;"100. Yil Mah. 1025. SK. No: 15 78100 Merkez 78000; 78100 Merkez/Karabük; Türkiye";'41.2166442;'32.6600452;"https://www.google.com/maps?q=41.2166442;32.6600452"
Arabica Coffee House Karadeniz EreğliŞubesi;"Müftü; Şht. Ömer Halisdemir Blv No:8; 67300 Eregli/Zonguldak; Türkiye";'41.2753467;'31.4292951;"https://www.google.com/maps?q=41.2753467;31.4292951"
Arabica Coffee House Kastamonu;"Kastamall Alişveriş Merkezi; 37100 Kastamonu Merkez/Kastamonu; Türkiye";'41.363848;'33.7667094;"https://www.google.com/maps?q=41.363848;33.7667094"
Arabica Coffee House Kayseri;"Yenidogan; Atatürk Blv. 19/a; 38020 Talas/Kayseri; Türkiye";'38.695135;'35.542831;"https://www.google.com/maps?q=38.695135;35.542831"
Arabica Coffee House Keçiören;"Şefkat; Cumhuriyet Cd. No: 6/B; 06300 Keçiören/Ankara; Türkiye";'39.9781469;'32.869949;"https://www.google.com/maps?q=39.9781469;32.869949"
Arabica Coffee House Kırıkkale Merkez;"Kaletepe; Cagyapi mimarlik ltd. şti; alpaslan türkeş bulv no:161/A; 71100 Kirikkale Merkez/Kirikkale; Türkiye";'39.8503392;'33.5042099;"https://www.google.com/maps?q=39.8503392;33.5042099"
Arabica Coffee House Kocaeli;"Kabaoglu; PROF. BAKİ KOMŞUOÄ";'40.82304;'29.9303531;"https://www.google.com/maps?q=40.82304;29.9303531"
ARABİCA COFFEE HOUSE KONYAALTI;"Meltem; Olbia ticari; Akdeniz Blv. no:19/1; 07070 Muratpaşa/Antalya; Türkiye";'36.8771468;'30.6621545;"https://www.google.com/maps?q=36.8771468;30.6621545"
Arabica Coffee House Koru Metro;"Koru Mahallesi 2579. Cadde; Selim Gedik Parki 1/1 D:1/1A; 06810 Cankaya/Ankara; Türkiye";'39.8875947;'32.6857127;"https://www.google.com/maps?q=39.8875947;32.6857127"
Arabica Coffee House Köroğlu;"Büyükesat; Ugur Mumcu Cd. No:86 D:B; 06700 Cankaya/Ankara; Türkiye";'39.895375;'32.878765;"https://www.google.com/maps?q=39.895375;32.878765"
Arabica Coffee House Kurtuluş;"Camlitepe; Cemal Gürsel Cad. 44/B; 06600 Cankaya/Ankara; Türkiye";'39.9283836;'32.8699806;"https://www.google.com/maps?q=39.9283836;32.8699806"
Arabica Coffee House Malatya;"İnönü; Cevre Sk. 4/8; 44070 Yeşilyurt/Malatya; Türkiye";'38.3500223;'38.2971471;"https://www.google.com/maps?q=38.3500223;38.2971471"
Arabica Coffee House Meram;"Melikşah; Melikşah Cd. No:62/A; 42090 Meram/Konya; Türkiye";'37.8687654;'32.4647448;"https://www.google.com/maps?q=37.8687654;32.4647448"
Arabica Coffee House Mersin;"İnönü; Pozcu Evo Apt; 1401. Sk. No:32-B; 33130 Yenişehir/Mersin; Türkiye";'36.7799729;'34.5932377;"https://www.google.com/maps?q=36.7799729;34.5932377"
Arabica Coffee House Mesa;"Avm; bangu bandhu bulvari; Mesa Plaza no:2 / 48; 06810 Cankaya/Ankara; Türkiye";'39.894026;'32.679576;"https://www.google.com/maps?q=39.894026;32.679576"
Arabica Coffee House Mng Avm;"Lalapaşa; Mng Avm; Terminal Cd.; 25100 Yakutiye/Erzurum; Türkiye";'39.9125501;'41.2505214;"https://www.google.com/maps?q=39.9125501;41.2505214"
Arabica Coffee House Muğla Kötekli;"Kötekli; Sitki Koçman Cd No:81/A; 48000 Menteşe/Mugla; Türkiye";'37.1694036;'28.3811426;"https://www.google.com/maps?q=37.1694036;28.3811426"
Arabica Coffee House Nev Çarşı;"Mimar Sinan; Cavuşdere Cd. No:35; 34672 Üsküdar/İstanbul; Türkiye";'41.0205612;'29.0195989;"https://www.google.com/maps?q=41.0205612;29.0195989"
Arabica Coffee House Niğde;"Aşagi Kayabaşi Mh; Alparslan Türkeş Blv; No:41 B Blok 29/30; 51200 Nigde; Türkiye";'37.9617195;'34.6511001;"https://www.google.com/maps?q=37.9617195;34.6511001"
Arabica Coffee House Optimum AVM;"Etiler; Pamukkale Turizm Optimum AVM Şubesi; Eryaman Altgeçidi No:93 Z39; 06796 Etimesgut/Ankara; Türkiye";'39.9655863;'32.6314544;"https://www.google.com/maps?q=39.9655863;32.6314544"
Arabica Coffee House Otokent;"İvedik OSB; Melih Gökçek Blv. 6/9; 06378 Yenimahalle/Ankara; Türkiye";'39.9885642;'32.7397906;"https://www.google.com/maps?q=39.9885642;32.7397906"
Arabica Coffee House Ovacık;"Ovacik; Yozgat Blv. No:64 İç Kapi No:B1; 06280 Keçiören/Ankara; Türkiye";'40.0093295;'32.8255004;"https://www.google.com/maps?q=40.0093295;32.8255004"
Arabica Coffee House Paragon Tower;"Kizilirmak; Kizilirmak Mah.Ufuk Üniversitesi Cad; 1445 Sk. no:2-1 D:1; 06530 Cankaya/Ankara; Türkiye";'39.90922630000000;'32.8125733;"https://www.google.com/maps?q=39.90922630000001;32.8125733"
Arabica Coffee House Porsuk Adalar;"İstiklal; Porsuk Blv No:41B; 26010 Odunpazari/Eskişehir; Türkiye";'39.7775347;'30.5140985;"https://www.google.com/maps?q=39.7775347;30.5140985"
Arabica Coffee House Samsun;"Güzelyali; 3024. Sk. no:1; 55200 Atakum/Samsun; Türkiye";'41.3476714;'36.2502784;"https://www.google.com/maps?q=41.3476714;36.2502784"
Arabica Coffee House Sankopark;"Mereşal Fevzi Cakmak Bulvari Sankopark Avm No:RZ18; 27000 Şehitkamil/Gaziantep; Türkiye";'37.0633094;'37.3630552;"https://www.google.com/maps?q=37.0633094;37.3630552"
Arabica Coffee House Selçuklu;"Parsana; Beyhekim Cd. No:11 B B Blok; 42130 Selçuklu/Konya; Türkiye";'37.9507495;'32.49273489999990;"https://www.google.com/maps?q=37.9507495;32.49273489999999"
Arabica Coffee House Seyyahpark;"Üçtutlar; Samsun Yolu Bulvari No:13; 19030 Corum Merkez/Corum; Türkiye";'40.5719502;'34.9925423;"https://www.google.com/maps?q=40.5719502;34.9925423"
Arabica Coffee House Silahtar;"Emniyet; Silahtar Cd. No: 51/A; 06560 Yenimahalle/Ankara; Türkiye";'39.9423447;'32.814238;"https://www.google.com/maps?q=39.9423447;32.814238"
Arabica Coffee House Sincan Arasta AVM;"Ahi Evran; Arasta AVM; Ayaş Cd. No:13; 06935 Sincan/Ankara; Türkiye";'39.96877569999990;'32.5800456;"https://www.google.com/maps?q=39.96877569999999;32.5800456"
Arabica Coffee House Sinop Merkez;"Zeytinlik; Enver Bahadir Cd. No:39 AA; 57000 Sinop Merkez/Sinop; Türkiye";'42.0192697;'35.1642436;"https://www.google.com/maps?q=42.0192697;35.1642436"
Arabica Coffee House Sivas;"Egriköprü; İsmet Yilmaz Blv No : 1/A; 58000 İşhani/Merkez/Sivas; Türkiye";'39.7170012;'37.0430555;"https://www.google.com/maps?q=39.7170012;37.0430555"
Arabica Coffee House Sokullu;"Şehit Cevdet Özdemir; Sokullu Mehmet Paşa Cd. No:114/D; 06460 Cankaya/Ankara; Türkiye";'39.8821353;'32.8356644;"https://www.google.com/maps?q=39.8821353;32.8356644"
Arabica Coffee House Tandoğan;"Mebusevleri; Anit Cd. No:2/A; 06930 Cankaya/Ankara; Türkiye";'39.9347819;'32.8370102;"https://www.google.com/maps?q=39.9347819;32.8370102"
Arabica Coffee House Tepe Prime;"Mustafa Kemal Mahallesi Dumlupinar Bulvari Tepe Prime İş veYaşam Merkezi 266/C04; 06530 Cankaya/Ankara; Türkiye";'39.9096086;'32.755545;"https://www.google.com/maps?q=39.9096086;32.755545"
Arabica Coffee House Tunalı Maestro;"Remzi Oguz Arik; Mahallesi; Bülten Sk. 8/D; 06820 Cankaya/Ankara; Türkiye";'39.9070617;'32.8601995;"https://www.google.com/maps?q=39.9070617;32.8601995"
Arabica Coffee House Tunalıİran Caddesi;"Kavaklidere; Barbaros Mahallesi; İran Cd. No:13/D; 06680 Cankaya/Ankara; Türkiye";'39.9017999;'32.8616392;"https://www.google.com/maps?q=39.9017999;32.8616392"
Arabica Coffee House Türkiye;"Kardelen; Başkent Blv.; 224H Yenimahalle/Ankara; Türkiye";'39.9703813;'32.7154726;"https://www.google.com/maps?q=39.9703813;32.7154726"
Arabica Coffee House Vega Avm;"Camlica Mah. Gülperi Sk. No: 1 İç Kapi No:; B01; 26180 Tepebaşi/Eskişehir; Türkiye";'39.7802857;'30.4785133;"https://www.google.com/maps?q=39.7802857;30.4785133"
Arabica coffee house velux;"İnönü; velux avm; 1729. Sk. no:4/13-29; 06170 Yenimahalle/Ankara; Türkiye";'39.9458832;'32.7378715;"https://www.google.com/maps?q=39.9458832;32.7378715"
Arabica Coffee House YDA Park Avenue;"Mehmet Akif Ersoy; Park; Avenue Sitesi Küme Evleri 74/1-2; 06200 Yenimahalle/Ankara; Türkiye";'39.9680805;'32.7717117;"https://www.google.com/maps?q=39.9680805;32.7717117"
Arabica Coffee House Yeni Batı;"Yeni Bati; Sezai Karakoç Cd No:14 D:E; 06560 Yenimahalle/Ankara; Türkiye";'39.9891764;'32.6641051;"https://www.google.com/maps?q=39.9891764;32.6641051"
Arabica Coffee House Yenimahalle -İvedik Metro;"Gayret; İvedik Cd. No:11B; 06170 Yenimahalle/Ankara; Türkiye";'39.9580864;'32.8170378;"https://www.google.com/maps?q=39.9580864;32.8170378"
Arabica Coffee House Yozgat;"Şehit Mustafa Dogan; Erdogan Akdag Mahallesi; YİMPAŞ Magaza No:1B; 66100 Yozgat Merkez/Yozgat; Türkiye";'39.82478;'34.8188278;"https://www.google.com/maps?q=39.82478;34.8188278"
Arabica Coffee House Yükseltepe;"Sancaktepe; 1572. Cd. No:17A/A; 06220 Keçiören/Ankara; Türkiye";'39.9987032;'32.8167933;"https://www.google.com/maps?q=39.9987032;32.8167933"
Arabica Coffee Houseİstanbul AKM;"Gümüşsuyu; Tak-i Zafer Cd. No : 3 / B; 34421 Beyoglu/İstanbul; Türkiye";'41.0370455;'28.9882629;"https://www.google.com/maps?q=41.0370455;28.9882629"
