isim;adres;latitude;longitude;google_maps_link
Coffe and Study;"Gazipaşa; Uzun Sk. n:43; 61000 Ortahisar/Trabzon; Türkiye";'41.0053362;'39.7272164;"https://www.google.com/maps?q=41.0053362;39.7272164"
Coffe Arabica Yozgat;"Medrese; 66100 Yozgat Merkez/Yozgat; Türkiye";'39.821937;'34.81031290000000;"https://www.google.com/maps?q=39.821937;34.81031290000001"
coffe cadde;"Şeyhcui; amasya üniversitesi; 05100 Amasya Merkez/Amasya; Türkiye";'40.64872039999990;'35.7910656;"https://www.google.com/maps?q=40.64872039999999;35.7910656"
Coffe Corner;"Kemerkaya; Atatürk Alani; 61200 Ortahisar/Trabzon; Türkiye";'41.0053705;'39.7300875;"https://www.google.com/maps?q=41.0053705;39.7300875"
Coffe Garden Mersin;"Seymenli; Yeni Yol Cd.; 33200 Mezitli/Mersin; Türkiye";'36.7026504;'34.4648958;"https://www.google.com/maps?q=36.7026504;34.4648958"
Coffe Haus Yozgat;"Erdogan Akdag; Karayollari Cd. No:10; 66100 Yozgat Merkez/Yozgat; Türkiye";'39.8310274;'34.8252559;"https://www.google.com/maps?q=39.8310274;34.8252559"
Coffe Kangoo Giresun;"Citlakkale; Stadyum Sk. No:16; 28200 Giresun Merkez/Giresun; Türkiye";'40.90891;'38.3694898;"https://www.google.com/maps?q=40.90891;38.3694898"
Coffee;"Aziziye; Fakih Sk.; 42030 Karatay/Konya; Türkiye";'37.8716956;'32.5041882;"https://www.google.com/maps?q=37.8716956;32.5041882"
Coffee & Tea House;"Arifiye; Tayfun Sk.; 26010 Odunpazari/Eskişehir; Türkiye";'39.7681757;'30.5187069;"https://www.google.com/maps?q=39.7681757;30.5187069"
Coffee 1919 KarsŞube;"Kaleiçi Mah. Şehit Celal Baba Cad. Bedesten Blok; No:10/9; 36000 Kars Merkez/Kars; Türkiye";'40.611535;'43.090354;"https://www.google.com/maps?q=40.611535;43.090354"
Coffee 1919 Kastamonu;"İsmailbey; Kişla Cd. 31/A; 37100 Kastamonu Merkez/Kastamonu; Türkiye";'41.38389530000000;'33.7787229;"https://www.google.com/maps?q=41.38389530000001;33.7787229"
Coffee 2.0;"Alparslan; Şehit Abdullah Cavuş Mahallesi; Alpaslan Türkeş Blv. No:67/1; 46100 Onikişubat/Kahramanmaraş; Türkiye";'37.5884202;'36.8805223;"https://www.google.com/maps?q=37.5884202;36.8805223"
COFFEE AND COFFEE;"Yeni; 87071. Sk. M1 Adana AVM; 01200 Seyhan/Adana; Türkiye";'37.0177901;'35.24420490000000;"https://www.google.com/maps?q=37.0177901;35.24420490000001"
Coffee And Study;"Akbilek; Kemal Nehrozoglu Cd.; 05100 Amasya Merkez/Amasya; Türkiye";'40.6529178;'35.8039614;"https://www.google.com/maps?q=40.6529178;35.8039614"
Coffee and study;"Yenişehir; The moon residance; Kardeşler Cd. A blok No:2; 58000 Sivas Merkez/Sivas; Türkiye";'39.7143604;'37.0421852;"https://www.google.com/maps?q=39.7143604;37.0421852"
Coffee And Study;"Kemalpaşa; Baglar Cd. No 108 A; 54050 Serdivan/Sakarya; Türkiye";'40.7616758;'30.3617542;"https://www.google.com/maps?q=40.7616758;30.3617542"
Coffee and Study - Beşirli;"Toklu; kardeşler apartmani; Devlet Sahil Yolu Cd. no:405/a; 61040 Ortahisar/Trabzon; Türkiye";'40.9973962;'39.67982019999990;"https://www.google.com/maps?q=40.9973962;39.67982019999999"
Coffee And Study Atakum/Sahil;"Körfez; 5009 sokak no:8/1; 55200 Atakum/Samsun; Türkiye";'41.3601;'36.2355916;"https://www.google.com/maps?q=41.3601;36.2355916"
Coffee and Study Çorum;"Bahçelievler; Bahabey Cd. no: 3/A; 19100 Corum Merkez/Corum; Türkiye";'40.5516599;'34.9633119;"https://www.google.com/maps?q=40.5516599;34.9633119"
Coffee Bean Flower;"Karakavak Mahallesi; Altin Kayisi Blv 14/1; 44110 Yeşilyurt/Malatya; Türkiye";'38.3153821;'38.2695216;"https://www.google.com/maps?q=38.3153821;38.2695216"
Coffee Beans;"Dumlupinar; Bahçem Sk. No:2; 34720 Kadiköy/İstanbul; Türkiye";'40.9952187;'29.05817889999990;"https://www.google.com/maps?q=40.9952187;29.05817889999999"
Coffee Bee Bakery Lab;"Mithat Paşa; Ortakapi Cd. No: 22; 22020 Edirne Merkez/Edirne; Türkiye";'41.6757117;'26.5505331;"https://www.google.com/maps?q=41.6757117;26.5505331"
Coffee Bike;"Cerrahpaşa; Hekimoglu Alipaşa Cd 123 A; 34000 Fatih/İstanbul; Türkiye";'41.0066077;'28.9345588;"https://www.google.com/maps?q=41.0066077;28.9345588"
Coffee Bonus Tokat;"Yeşilirmak; Bosna Cd. No;5 D:B; 60030 Tokat Merkez/Tokat; Türkiye";'40.3323825;'36.5494941;"https://www.google.com/maps?q=40.3323825;36.5494941"
Coffee break;"Sularbaşi; 11-İmam Hatip Sk.; 58040 Sivas Merkez/Sivas; Türkiye";'39.7522222;'37.0175;"https://www.google.com/maps?q=39.7522222;37.0175"
Coffee Break;"Gazipaşa; Ahmetbey Sk. 12 A; 11000 Bilecik Merkez/Bilecik; Türkiye";'40.1433006;'29.9785705;"https://www.google.com/maps?q=40.1433006;29.9785705"
Coffee Break Stop Mugla City Mall;"Orhaniye; Ugur Mumcu Blv. No:42; 48000 Menteşe/Mugla; Türkiye";'37.1923819;'28.3690966;"https://www.google.com/maps?q=37.1923819;28.3690966"
Coffee Brew Lab;"Kuloglu; Yeni Carşi Cd. No:5 D:B; 34425 Beyoglu/İstanbul; Türkiye";'41.0320996;'28.978345;"https://www.google.com/maps?q=41.0320996;28.978345"
Coffee Bus Antalya;"Pinarbaşi; Ceypark Yaşam Merkezi; Akdeniz Üniversitesi; Anadolu Cd No:156/31-32; 07070 Konyaalti/Antalya; Türkiye";'36.8918846;'30.6408979;"https://www.google.com/maps?q=36.8918846;30.6408979"
Coffee Bus Niğde;"Sabanci ögrenci yurdu; Aşagi kayabaşi mah. Alparslan Türkeş bul. No: 1/A Nigde/Merkez; karşisi; 51100 Nigde Merkez/Nigde; Türkiye";'37.9607162;'34.6480598;"https://www.google.com/maps?q=37.9607162;34.6480598"
Coffee Cadde Amasya;"Şeyhcui; Bogaçhan Sk. No:1; 05100 Amasya Merkez/Amasya; Türkiye";'40.649508;'35.794396;"https://www.google.com/maps?q=40.649508;35.794396"
Coffee Cappa;"2000 Evler; 1. Yol No:9; 50300 Nevşehir Merkez/Nevşehir; Türkiye";'38.6637922;'34.7367127;"https://www.google.com/maps?q=38.6637922;34.7367127"
Coffee Chefs Cafe Restaurant;"Kayacik; Amiral Cd. No:322 D:A; 41500 Karamürsel/Kocaeli; Türkiye";'40.6890167;'29.5743598;"https://www.google.com/maps?q=40.6890167;29.5743598"
Coffee Chefs Lounge;"Cumhuriyet; Sahil Cd. No:49; 77700 Altinova/Yalova; Türkiye";'40.7134153;'29.5129913;"https://www.google.com/maps?q=40.7134153;29.5129913"
Coffee Chefs Roastery;"Sanayi; Ömer Türkçakal Blv. No:7; 41040 İzmit/Kocaeli; Türkiye";'40.7562346;'29.9463066;"https://www.google.com/maps?q=40.7562346;29.9463066"
Coffee 'Clock;"Alahan; Hatay Cd. No:137; 31001 Antakya/Hatay; Türkiye";'36.3333888;'36.1998242;"https://www.google.com/maps?q=36.3333888;36.1998242"
Coffee CocoLab;"Cumhuriyet; Nilüfer Hatun Cd. No:114; 16140 NiÌ‡lüfer/Bursa; Türkiye";'40.2262523;'28.9706591;"https://www.google.com/maps?q=40.2262523;28.9706591"
Coffee Cocolab Roastery & Workshop;"Altinşehir; Mithatpaşa Cd.; 16120 NiÌ‡lüfer/Bursa; Türkiye";'40.2184148;'28.9418017;"https://www.google.com/maps?q=40.2184148;28.9418017"
Coffee Corner;"Düz; Sirripaşa CAD No 14/A; 52200 Altinordu/Ordu; Türkiye";'40.98735110000000;'37.8757144;"https://www.google.com/maps?q=40.98735110000001;37.8757144"
Coffee cup o joy;"Dumlupinar; Kader Sk.; 16285 NiÌ‡lüfer/Bursa; Türkiye";'40.2223419;'28.8498449;"https://www.google.com/maps?q=40.2223419;28.8498449"
Coffee Daisy;"Cumhuriyet; Ziya Gökalp Cd. No:234/A; 52200 Altinordu/Ordu; Türkiye";'40.9777184;'37.9690668;"https://www.google.com/maps?q=40.9777184;37.9690668"
Coffee D'Basil;"Aziziye; Şht. Nazim Bey Cd. No:6B; 42030 Karatay/Konya; Türkiye";'37.871755;'32.5048618;"https://www.google.com/maps?q=37.871755;32.5048618"
Coffee De Ceramic & Lifestyle | OND Seramik | BOLU;"Borazanlar; Mutluer Sk. No: 22/9; 14000 Bolu Merkez/Bolu; Türkiye";'40.7340543;'31.5883179;"https://www.google.com/maps?q=40.7340543;31.5883179"
Coffee de Roma;"Başbaglar; 1414. Sk. 7/D; 24002 Erzincan Merkez/Erzincan; Türkiye";'39.7600984;'39.500758;"https://www.google.com/maps?q=39.7600984;39.500758"
Coffee Department Nişantaşı;"Teşvikiye; Sezai Selek Sk. No:28/30 - B; 34365 Şişli/İstanbul; Türkiye";'41.0541535;'28.9951896;"https://www.google.com/maps?q=41.0541535;28.9951896"
Coffee Derya Cavalry Cd.;"Kazimdirik; Süvari Cd. 49-1; 35100 Bornova/İzmir; Türkiye";'38.4611691;'27.2129533;"https://www.google.com/maps?q=38.4611691;27.2129533"
Coffee D'our;"Erzene; Kazim Karabekir caddesi; 67. Sk. 24/A; 35040 Bornova/İzmir; Türkiye";'38.4639173;'27.223862;"https://www.google.com/maps?q=38.4639173;27.223862"
Coffee Europe;"Gazipaşa; Kurtul Sk. No : 2/A; 11000 Bilecik Merkez/Bilecik; Türkiye";'40.1432391;'29.979675;"https://www.google.com/maps?q=40.1432391;29.979675"
Coffee FAE'S;"Düz; Coffee FAE'S; Süleyman Felek Cd. No:10/c; 52200 Altinordu/Ordu; Türkiye";'40.9870278;'37.876463;"https://www.google.com/maps?q=40.9870278;37.876463"
Coffee FAE'S;"Cumhuriyet; Kazim Türkmen Cd. no:184/B; 52200 Altinordu/Ordu; Türkiye";'40.9804817;'37.9566925;"https://www.google.com/maps?q=40.9804817;37.9566925"
Coffee Go;"Cumhuriyet Üniversitesi Yerleşkesi; 58000 Merkez/Sivas; Türkiye";'39.7082059;'37.0284601;"https://www.google.com/maps?q=39.7082059;37.0284601"
Coffee Guru;"Erenler; 2772. Sk 6B; 03030 Afyonkarahisar Merkez/Afyonkarahisar; Türkiye";'38.817228;'30.5393583;"https://www.google.com/maps?q=38.817228;30.5393583"
Coffee Gusto;"Bosna Hersek Mah Osmanli Cad. Konya Forum İş Merkezi; D:4 Z; 42250 Selçuklu/Konya; Türkiye";'38.0090871;'32.5210928;"https://www.google.com/maps?q=38.0090871;32.5210928"
Coffee Hagen;"İnönü; Vali Recep Yazicioglu Cd. No: 3/A; 24100 Erzincan Merkez/Erzincan; Türkiye";'39.7471216;'39.4897232;"https://www.google.com/maps?q=39.7471216;39.4897232"
Coffee Hall;"Firat Mah. Mahabad Bulvari Diamond City Sitesi B2 No:69/BA; Kayapinar/Diyarbakir; Türkiye";'37.9306808;'40.1534793;"https://www.google.com/maps?q=37.9306808;40.1534793"
Coffee Hall ZONGULDAK;"İncivez; Yap-kon inş; Üniversite Cd. No:59 D:1; 67980 Zonguldak Merkez/Zonguldak; Türkiye";'41.4483994;'31.7634911;"https://www.google.com/maps?q=41.4483994;31.7634911"
COFFEE HOUR FLORYA;"Şenlikköy; Florya Cd. 15-17; 34000 Bakirköy/İstanbul; Türkiye";'40.9802111;'28.7927988;"https://www.google.com/maps?q=40.9802111;28.7927988"
Coffee House;"Carşi; Miralay Şükrü Bey Cd. No:30; 08000 Artvin Merkez/Artvin; Türkiye";'41.183693;'41.820501;"https://www.google.com/maps?q=41.183693;41.820501"
Coffee House;"Dumlupinar; Atatürk Cd. 2/2; 16220 NiÌ‡lüfer/Bursa; Türkiye";'40.2247501;'28.8480671;"https://www.google.com/maps?q=40.2247501;28.8480671"
Coffee House;"Esentepe; İyigün Sk.; 16130 NiÌ‡lüfer/Bursa; Türkiye";'40.2266425;'28.9815339;"https://www.google.com/maps?q=40.2266425;28.9815339"
Coffee house;"Sümerler; kocaeli gebze çarşisi; sevgi parki; 31070 Defne/Hatay; Türkiye";'36.1884851;'36.150774;"https://www.google.com/maps?q=36.1884851;36.150774"
Coffee House;"Orta; 1203. Hürriyet Cd.; 32800 Şarkikaraagaç/Isparta; Türkiye";'38.0815917;'31.3667641;"https://www.google.com/maps?q=38.0815917;31.3667641"
Coffee House;"Deniz; Plaj Cd. No:13; 33200 Mezitli; 33600 Ğ¢ĞµĞ´Ğ¶Ğµ/Mersin; Türkiye";'36.694097;'34.44501899999990;"https://www.google.com/maps?q=36.694097;34.44501899999999"
Coffee House;"Şehitmustafa; Muvaffak Uygur Cd No: 9; 33440 Tarsus/Mersin; Türkiye";'36.9160303;'34.8879366;"https://www.google.com/maps?q=36.9160303;34.8879366"
Coffee House;"Kazim Karabekir; Şht. Ömer Faydali Cd.; 77200 Yalova Merkez/Yalova; Türkiye";'40.6535397;'29.2543567;"https://www.google.com/maps?q=40.6535397;29.2543567"
Coffee House;"Orhanlar; Yali Cd. No:124; 67300 Eregli/Zonguldak; Türkiye";'41.2850312;'31.4139223;"https://www.google.com/maps?q=41.2850312;31.4139223"
Coffee House Antakya;"Harbiye; Süleyman Demirel Cad No 6/A; 31080 Defne/Hatay; Türkiye";'36.1727882;'36.1442136;"https://www.google.com/maps?q=36.1727882;36.1442136"
Coffee House Bornova Ata Durağı;"Erzene; Kazim Karabekir Cd. No : 43 / A; 35040 Bornova/İzmir; Türkiye";'38.4646575;'27.2232158;"https://www.google.com/maps?q=38.4646575;27.2232158"
Coffee House London;"Görükle; Trio Yaşam Merkezi; Atatürk Cd.; 16285 NiÌ‡lüfer/Bursa; Türkiye";'40.2233801;'28.8505281;"https://www.google.com/maps?q=40.2233801;28.8505281"
Coffee House Ovacık;"Ovacik; Yozgat Blv. No: 20; 06280 Keçiören/Ankara; Türkiye";'40.0023359;'32.8231717;"https://www.google.com/maps?q=40.0023359;32.8231717"
Coffee In Lab;"Akasya; Primemall AVM; Şükrü Balci Cd. No:149; 31030 Antakya/Hatay; Türkiye";'36.2286665;'36.1363783;"https://www.google.com/maps?q=36.2286665;36.1363783"
Coffee Joyy;"Liman; 33. Sk. No:4; 07130 Konyaalti/Antalya; Türkiye";'36.8523833;'30.6144384;"https://www.google.com/maps?q=36.8523833;30.6144384"
Coffee Kangoo;"Ada; Enver Bahadir Cd. No:25; 57000 Sinop Merkez/Sinop; Türkiye";'42.0207171;'35.159628;"https://www.google.com/maps?q=42.0207171;35.159628"
COFFEE KANGOO;"Kanal boyu;Karşiyaka; 63100 Haliliye/Şanliurfa; Türkiye";'37.1686861;'38.8329786;"https://www.google.com/maps?q=37.1686861;38.8329786"
Coffee Kangoo;"Cilesiz; 44090 Yeşilyurt/Malatya; Türkiye";'38.3357465;'38.2730473;"https://www.google.com/maps?q=38.3357465;38.2730473"
Coffee Kangoo;"Cilesiz Mah. Abdurrahman; Gazi Cd. No:4 D:1E; 44000 Yeşilyurt/Malatya; Türkiye";'38.3518475;'38.2749287;"https://www.google.com/maps?q=38.3518475;38.2749287"
Coffee Kangoo;"Gap; Avukat Sedat Özevin Cd 4 B; 72070 Batman Merkez/Batman; Türkiye";'37.9003113;'41.1317974;"https://www.google.com/maps?q=37.9003113;41.1317974"
Coffee Kangoo | Çorum;"Üçtutlar; Safir AVM; Dr. İlhan Gürel Cd. Binevler; 19030 Merkez/Corum; 19030 Corum Merkez/Corum; Türkiye";'40.5804416;'34.9645774;"https://www.google.com/maps?q=40.5804416;34.9645774"
Coffee Kangoo Bahabey;"Yavruturna; Bahabey Cd. No:20 D:16; 19000 Corum Merkez/Corum; Türkiye";'40.5513637;'34.9631855;"https://www.google.com/maps?q=40.5513637;34.9631855"
Coffee Kangoo bayburt;"Zahit; Ayyildiz Cd. no:24d; 69000 Bayburt Merkez/Bayburt; Türkiye";'40.2538141;'40.22846089999990;"https://www.google.com/maps?q=40.2538141;40.22846089999999"
Coffee Kangoo Çorum;"Üçtutlar; Dr. İlhan Gürel Cd. No:42 D:J; 19200 Corum Merkez/Corum; Türkiye";'40.5748443;'34.9639549;"https://www.google.com/maps?q=40.5748443;34.9639549"
COFFEE KANGOO GÜMÜŞ;"Karaer; Bahçeli Sk. No:28/1 Bagimsiz Bölüm No:26; 29000 Gümüşhane Merkez/Gümüşhane; Türkiye";'40.4571435;'39.4808376;"https://www.google.com/maps?q=40.4571435;39.4808376"
Coffee Kangoo Karaman Merkez;"Külhan; 1. İstasyon Cd. Aydogdu apt no:20B D:0; 70100 Karaman Merkez/Karaman; Türkiye";'37.1846524;'33.2135954;"https://www.google.com/maps?q=37.1846524;33.2135954"
Coffee Kangoo Kastamonu;"Kuzeykent; Kamil Demircioglu Cd. 4cb 39/c; 37100 Kastamonu Merkez/Kastamonu; Türkiye";'41.42772069999990;'33.7751776;"https://www.google.com/maps?q=41.42772069999999;33.7751776"
Coffee Kangoo Mardin;"YENİŞEHİR MAH. SSK CAD; Migros NO: 1 B; 47047 Artuklu/Mardin; Türkiye";'37.319797;'40.7253881;"https://www.google.com/maps?q=37.319797;40.7253881"
