,0,1,2
total_pings,16.872857588033657,125.45016733327891,11.426699995989788
unique_days_active,4.48192583359302,21.617092482246345,3.48774211659025
activity_span_days,5.865690246182611,24.6335809321688,4.7632504110467995
pings_in_poi,6.352446244936117,6.1598236878622155,0.48107847986204866
ratio_in_poi,0.559068919729721,0.0571665935753134,0.06611766882727806
pings_in_hotels,0.002570894359613587,0.0004081299485756265,0.0
ratio_in_hotels,0.00032259735203235866,1.2023770932323851e-06,0.0
pings_in_luxury_houses,0.006076659395450296,0.01942698555219982,0.00041438864307770455
ratio_in_luxury_houses,0.0005997709239555397,0.00024437368181489175,4.5498220207083156e-05
ratio_in_turkey_sites,0.01626909869827201,0.0004016734827313516,6.400478514209224e-05
pings_in_p_schools,0.10104393892178248,0.055832176965145704,0.0002606638238714593
ratio_in_p_schools,0.006104380647689909,0.0006337492853687496,1.8889880873102845e-05
num_distinct_polygon_types_visited,1.0603770645060766,0.8856011754142519,0.23626167974441578
num_distinct_poi,1.0140230601433469,1.4467798547057382,0.19368658851207743
num_distinct_hotels,0.0010127765659083826,0.00016325197943025058,0.0
pings_gece,4.459255219694609,27.4678801730471,2.0202582576962667
ratio_gece_pings,0.29233557585109,0.2142703940632192,0.14009098392799846
pings_sabah,5.584839513867248,39.52293690310995,3.891243032255477
ratio_sabah_pings,0.4235607211223174,0.3162764646036761,0.34931224370666486
pings_ogle,4.062168899968838,34.181577014121295,3.415357777807483
ratio_ogle_pings,0.17225149681339738,0.2784709852240235,0.33087069814954845
pings_aksam,2.7665939545029605,24.27777324300057,2.0998409282305603
ratio_aksam_pings,0.11185220621319525,0.19098215610908106,0.1797260742157882
ratio_poi_gece_to_total_in_poi,0.4592003969098059,0.10021193624934044,0.004703194547999318
ratio_poi_gece_to_total_device_pings,0.18248652219994857,0.007547023847505111,0.0003632205433518921
pings_poi_sabah,2.1560454970395764,2.2965880336299076,0.16070258926065045
ratio_poi_sabah_to_total_in_poi,0.3637890569422963,0.33940084026003886,0.09019763380770056
ratio_poi_sabah_to_total_device_pings,0.28217165834230484,0.021139982072605316,0.014875335071023909
pings_poi_ogle,1.0076347771891554,1.91208880907681,0.19914047775000335
ratio_poi_ogle_to_total_in_poi,0.08536891243270946,0.2945669137995374,0.09871827076873167
ratio_poi_ogle_to_total_device_pings,0.046943574169443676,0.0190424338580572,0.03222745293795187
pings_poi_aksam,1.1137425989404799,1.0118357685086932,0.1104813591947493
ratio_poi_aksam_to_total_in_poi,0.07590464399876573,0.09975223361566084,0.04097165867209026
ratio_poi_aksam_to_total_device_pings,0.04746716501802376,0.009437153797145742,0.018651660274950382
pings_hotels_gece,0.00038952944842630103,0.0002448779691453759,0.0
ratio_hotels_gece_to_total_in_hotels,0.00015061805339150307,6.996513404153597e-05,0.0
ratio_hotels_gece_to_total_device_pings,9.194201845728799e-05,6.57616030048343e-07,0.0
pings_hotels_sabah,0.0007011530071673418,0.00012243898457268794,0.0
ratio_hotels_sabah_to_total_in_hotels,0.00016879609431806378,5.247385053115197e-05,0.0
ratio_hotels_sabah_to_total_device_pings,3.1575493167889544e-05,4.370750609213411e-07,0.0
pings_hotels_ogle,0.0012464942349641633,0.0,0.0
ratio_hotels_ogle_to_total_in_hotels,0.0005505349537758388,0.0,0.0
ratio_hotels_ogle_to_total_device_pings,0.00019359360055328618,0.0,0.0
pings_hotels_aksam,0.00023371766905578062,4.0812994857562645e-05,0.0
ratio_hotels_aksam_to_total_in_hotels,0.00014282746442297704,4.0812994857562645e-05,0.0
ratio_hotels_aksam_to_total_device_pings,5.486239853894905e-06,1.0768600226269693e-07,0.0
pings_luxury_houses_gece,0.0017139295730757246,0.0019998367480205696,2.673475116630352e-05
ratio_luxury_houses_gece_to_total_in_luxury_houses,0.0007524410512101382,0.00037260645874228433,2.673475116630352e-05
ratio_luxury_houses_gece_to_total_device_pings,0.00011310913786487997,1.8683377917773156e-05,1.2945949757784177e-06
pings_luxury_houses_sabah,0.002570894359613587,0.010162435719533099,0.00019382694595570051
ratio_luxury_houses_sabah_to_total_in_luxury_houses,0.0011270385374467643,0.0034984031289855065,0.00018714325816412465
ratio_luxury_houses_sabah_to_total_device_pings,0.00028837329018936426,0.00013129850846511435,1.9703874479423205e-05
pings_luxury_houses_ogle,0.0016360236833904643,0.005713819280058771,0.00016040850699782113
ratio_luxury_houses_ogle_to_total_in_luxury_houses,0.0007303677157993145,0.002443923433932653,0.00015372481920624523
ratio_luxury_houses_ogle_to_total_device_pings,0.00019031241671923303,7.734821631512179e-05,1.9806581883947598e-05
pings_luxury_houses_aksam,0.0001558117793705204,0.0015508938045873807,3.34184389578794e-05
ratio_luxury_houses_aksam_to_total_in_luxury_houses,0.00011685883452789031,0.0005008371195525186,2.673475116630352e-05
ratio_luxury_houses_aksam_to_total_device_pings,7.976079182062348e-06,1.7043579116882357e-05,4.693168867933936e-06
pings_turkey_sites_gece,0.14093175444063571,0.002530405681168884,0.0
ratio_turkey_sites_gece_to_total_in_turkey_sites,0.011875414730880616,0.0009725838394497022,0.0
ratio_turkey_sites_gece_to_total_device_pings,0.003947045438233365,1.7079297822817254e-05,0.0
pings_turkey_sites_sabah,0.16321283889062013,0.01930454656762713,0.0004945928965766151
ratio_turkey_sites_sabah_to_total_in_turkey_sites,0.015030145956315718,0.010665699254761801,0.00047454183320188746
ratio_turkey_sites_sabah_to_total_device_pings,0.005402000347394723,0.0001756415214606693,3.041660354167124e-05
pings_turkey_sites_ogle,0.14046431910252416,0.01665170190188556,0.0005346950233260704
ratio_turkey_sites_ogle_to_total_in_turkey_sites,0.013244971739363677,0.00963559384837562,0.0005079602721597668
ratio_turkey_sites_ogle_to_total_device_pings,0.004090931707889531,0.00016738738441397636,3.214451620483877e-05
pings_turkey_sites_aksam,0.11771579931442817,0.00493837237776508,3.34184389578794e-05
ratio_turkey_sites_aksam_to_total_in_turkey_sites,0.008073213288616054,0.002234408095368962,3.34184389578794e-05
ratio_turkey_sites_aksam_to_total_device_pings,0.0028291212047543888,4.156527903388851e-05,1.4436653955822407e-06
pings_p_schools_gece,0.028201932066064195,0.00599951024406171,0.0
ratio_p_schools_gece_to_total_in_p_schools,0.00773111849354135,0.0010520590626062524,0.0
ratio_p_schools_gece_to_total_device_pings,0.0010928208960610817,3.897317315907599e-05,0.0
pings_p_schools_sabah,0.03887503895294484,0.026936576605991348,0.00015372481920624523
ratio_p_schools_sabah_to_total_in_p_schools,0.010919989669727065,0.010402858252646467,0.00015372481920624523
ratio_p_schools_sabah_to_total_device_pings,0.0029556581292753555,0.0003160586359313798,8.064981662584662e-06
pings_p_schools_ogle,0.016048613275163603,0.01526406007672843,8.688794129048644e-05
ratio_p_schools_ogle_to_total_in_p_schools,0.0028748074645693284,0.007440682003417516,8.688794129048644e-05
ratio_p_schools_ogle_to_total_device_pings,0.00103455070442899,0.00020529713388362067,9.499976251834579e-06
pings_p_schools_aksam,0.017918354627609847,0.007632030038364215,2.005106337472764e-05
ratio_p_schools_aksam_to_total_in_p_schools,0.002624910174592921,0.0022863450124047794,2.005106337472764e-05
ratio_p_schools_aksam_to_total_device_pings,0.0010213509179244822,7.342034239467283e-05,1.3249229586836016e-06
dominant_gece_location_ping_count,2.2013867248363974,0.9428209942045548,0.010780788407811895
ratio_dominant_gece_loc_pings_to_total_gece,0.42829351266628246,0.03560826872587617,0.0014653747180762512
